,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
624,Owen Wijndal, NED,DF,Ajax,22,1999,0.8,0,0,0,2,0,0,3,2,0,0,0,0
625,Denis Zakaria, SUI,MF,Chelsea,25,1996,0.8,0,0,0,1,3,0,0,2,1,0,0,0
626,Martin Baturina, CRO,MF,Dinamo Zagreb,19,2003,0.7,1,0,0,1,3,0,1,0,1,0,0,0
627,Sun Menachem, ISR,DF,Maccabi Haifa,28,1993,0.7,1,0,0,4,0,0,1,0,3,0,0,0
628,Oliver Abildgaard, DEN,MF,Celtic,26,1996,0.7,0,0,0,0,0,0,0,0,3,0,0,0
629,Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,0.7,0,0,0,2,0,0,0,0,1,0,0,0
630,Fernando, BRA,FW,RB Salzburg,23,1999,0.7,0,0,0,1,5,0,0,1,0,0,0,0
631,Florian Grillitsch, AUT,MF,Ajax,26,1995,0.7,0,0,0,0,1,0,3,0,1,0,0,0
632,Dani Olmo, ESP,"FW,MF",RB Leipzig,24,1998,0.7,0,0,0,1,4,0,3,0,2,0,0,0
633,Tom Rothe, GER,DF,Dortmund,17,2004,0.7,0,0,0,0,0,0,1,1,0,0,0,0
634,Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,0.6,0,0,0,2,2,0,0,2,0,0,0,0
635,Adnan Januzaj, BEL,"FW,MF",Sevilla,27,1995,0.6,0,0,0,0,2,0,1,1,1,0,0,0
636,Lukas Klostermann, GER,DF,RB Leipzig,26,1996,0.6,0,0,0,1,0,0,0,0,1,0,0,0
637,Danny Loader, ENG,"FW,MF",Porto,21,2000,0.6,0,0,0,0,0,0,1,0,2,0,0,0
638,Antonio Nusa, NOR,FW,Club Brugge,17,2005,0.6,0,0,0,0,3,0,0,0,0,0,0,0
639,Alessio Zerbin, ITA,FW,Napoli,23,1999,0.6,0,0,0,0,0,0,0,0,1,0,0,0
640,Paulinho, BRA,FW,Leverkusen,22,2000,0.5,1,0,0,1,0,0,1,0,2,0,0,0
641,Youri Baas, NED,DF,Ajax,19,2003,0.5,0,0,0,0,0,0,0,0,0,0,0,0
642,El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,0,0,0,0,0,0,0,0,1,0,0,0
643,Gonçalo Guedes, POR,"FW,MF",Benfica,25,1996,0.5,0,0,0,0,1,2,1,0,0,0,0,0
644,Mamoudou Karamoko, FRA,FW,FC Copenhagen,22,1999,0.5,0,0,0,0,0,0,0,0,0,0,0,0
645,Jan Kliment, CZE,FW,Viktoria Plzeň,28,1993,0.5,0,0,0,2,1,0,0,0,0,0,0,0
646,Paul Mukairu, NGA,FW,FC Copenhagen,22,2000,0.5,0,0,0,1,1,0,0,0,2,0,0,0
647,Kalvin Phillips, ENG,MF,Manchester City,26,1995,0.5,0,0,0,0,0,0,0,1,0,0,0,0
648,Nikita Rukavytsya, AUS,"FW,MF",Maccabi Haifa,35,1987,0.5,0,0,0,0,0,1,1,0,0,0,0,0
649,Matìas Soulé, ARG,"MF,FW",Juventus,19,2003,0.5,0,0,0,0,3,0,0,0,0,0,0,0
650,Gabriel Veron, BRA,"MF,FW",Porto,19,2002,0.5,0,0,0,1,0,0,2,0,0,0,0,0
651,Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,0.5,0,0,0,0,1,0,1,0,1,0,0,0
652,Gonçalo Borges, POR,"MF,FW",Porto,21,2001,0.4,1,0,0,2,1,0,1,0,0,0,0,0
653,Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,0,0,0,0,2,0,5,0,0,0,0,0
654,Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,0,0,0,0,1,0,1,0,0,0,0,0
655,Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,0.4,0,0,0,1,0,0,2,2,1,0,0,0
656,Julian Draxler, GER,MF,Benfica,28,1993,0.4,0,0,0,0,0,0,0,0,0,0,0,0
657,Bryan Gil, ESP,MF,Tottenham,21,2001,0.4,0,0,0,0,3,0,3,2,0,1,0,0
658,Diogo Gonçalves, POR,"FW,MF",Benfica,25,1997,0.4,0,0,0,2,2,0,2,0,0,0,0,0
