,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
65,Hans Vanaken, BEL,MF,Club Brugge,29,1992,7.8,1,0,0,7,9,0,2,4,3,0,0,0
66,Reece James, ENG,"DF,MF",Chelsea,22,1999,7.7,3,0,0,15,7,2,40,7,8,0,0,0
67,Daichi Kamada, JPN,"MF,FW",Eint Frankfurt,25,1996,7.7,1,0,0,4,11,1,14,9,9,0,0,0
68,Khvicha Kvaratskhelia, GEO,FW,Napoli,21,2001,7.7,0,0,0,4,8,0,17,2,10,0,0,0
69,Pepê, BRA,"DF,FW",Porto,25,1997,7.6,4,1,1,6,12,1,14,5,9,0,0,0
70,John Stones, ENG,"MF,DF",Manchester City,28,1994,7.6,0,0,0,2,3,0,3,4,2,0,0,0
71,Niklas Süle, GER,DF,Dortmund,26,1995,7.5,2,0,0,4,2,0,0,6,5,0,0,0
72,Antonio Rüdiger, GER,DF,Real Madrid,29,1993,7.5,0,0,0,3,0,0,0,6,6,0,0,0
73,Alexander Bah, DEN,DF,Benfica,24,1997,7.3,1,0,0,9,8,0,23,17,9,0,1,0
74,Marquinhos, BRA,DF,Paris S-G,28,1994,7.3,0,0,0,3,4,0,0,3,3,0,0,0
75,Dominik Szoboszlai, HUN,FW,RB Leipzig,21,2000,7.3,0,0,0,7,7,1,29,1,6,0,0,0
76,Casper Nielsen, DEN,MF,Club Brugge,28,1994,7.2,2,0,0,8,5,0,20,6,14,0,1,0
77,Andre-Frank Zambo Anguissa, CMR,MF,Napoli,26,1995,7.2,2,1,1,17,16,0,1,14,8,0,0,0
78,Kylian Mbappé, FRA,FW,Paris S-G,23,1998,7.2,0,0,0,2,16,9,22,0,0,0,0,0
79,Thiago Silva, BRA,DF,Chelsea,37,1984,7.1,2,0,0,5,6,0,0,9,6,0,0,0
80,Jude Bellingham, ENG,MF,Dortmund,19,2003,7.0,2,0,0,6,17,0,5,13,8,0,0,0
81,Mike Maignan, FRA,GK,Milan,27,1995,7.0,1,0,0,0,1,0,0,0,0,0,0,0
82,Raheem Sterling, ENG,"FW,MF",Chelsea,27,1994,7.0,1,0,0,15,7,7,15,0,2,0,0,0
83,Fabinho, BRA,MF,Liverpool,28,1993,7.0,0,0,0,12,4,0,1,9,8,0,0,0
84,Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,4,0,0,10,16,0,1,6,18,0,1,0
85,Eric Dier, ENG,DF,Tottenham,28,1994,6.9,3,0,0,11,0,0,4,8,5,0,0,0
86,Pierre Højbjerg, DEN,MF,Tottenham,26,1995,6.9,3,0,0,8,7,0,7,11,8,0,0,0
87,Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,6.9,2,0,0,2,2,0,57,4,13,0,0,0
88,Mateo Kovačić, CRO,MF,Chelsea,28,1994,6.9,2,0,0,5,10,0,0,6,5,0,0,0
89,Son Heung-min, KOR,"MF,FW",Tottenham,30,1992,6.9,1,0,0,1,13,3,33,1,4,0,0,0
90,Piotr Zieliński, POL,MF,Napoli,28,1994,6.9,1,0,0,3,12,0,33,4,4,1,0,0
91,Fredrik Aursnes, NOR,"FW,MF",Benfica,26,1995,6.9,0,0,0,6,2,2,7,5,9,0,0,0
92,Kai Havertz, GER,"FW,MF",Chelsea,23,1999,6.9,0,0,0,12,7,2,7,1,3,0,0,0
93,Mohamed Salah, EGY,FW,Liverpool,30,1992,6.9,0,0,0,2,3,4,10,2,1,0,0,0
94,Mateus Uribe, COL,MF,Porto,31,1991,6.8,3,0,0,14,2,0,3,11,9,0,1,0
95,Kristijan Jakić, CRO,DF,Eint Frankfurt,25,1997,6.8,2,0,0,14,3,0,11,3,9,0,1,0
96,Amir Rrahmani, KVX,DF,Napoli,28,1994,6.8,2,0,0,7,2,0,2,2,6,0,0,0
97,Mehdi Taremi, IRN,FW,Porto,30,1992,6.8,2,1,1,9,11,2,1,1,6,0,0,0
98,Nathan Aké, NED,DF,Manchester City,27,1995,6.8,1,0,0,5,1,0,5,7,6,0,0,0
99,Matthijs de Ligt, NED,DF,Bayern Munich,22,1999,6.8,1,0,0,8,4,0,0,10,3,0,0,0
100,Lionel Messi, ARG,"FW,MF",Paris S-G,35,1987,6.8,0,0,0,2,16,0,14,3,4,0,0,0
101,Tuta, BRA,DF,Eint Frankfurt,23,1999,6.7,2,1,1,6,1,0,1,8,11,0,0,0
102,Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,1,0,0,4,4,1,6,8,10,0,0,0
103,Brahim Díaz, ESP,"MF,FW",Milan,22,1999,6.7,1,0,0,11,23,0,7,6,3,0,0,0
104,Leon Goretzka, GER,MF,Bayern Munich,27,1995,6.7,1,0,0,12,0,0,4,7,9,0,0,0
105,Benjamin Pavard, FRA,DF,Bayern Munich,26,1996,6.6,4,1,1,15,6,0,6,13,9,0,0,0
106,Cristian Romero, ARG,DF,Tottenham,24,1998,6.6,4,1,1,7,1,1,1,10,9,0,0,0
107,Kamal Sowah, GHA,"FW,MF",Club Brugge,22,2000,6.6,4,1,1,4,3,3,7,4,7,0,0,0
108,Stephen Eustáquio, CAN,MF,Porto,25,1996,6.6,1,0,0,3,7,0,22,11,7,0,0,0
109,Ismaël Bennacer, ALG,MF,Milan,24,1997,6.5,1,0,0,11,12,0,6,7,13,0,0,0
110,Xaver Schlager, AUT,MF,RB Leipzig,24,1997,6.5,1,0,0,9,3,0,0,5,7,0,0,0
111,Zaidu Sanusi, NGA,DF,Porto,25,1997,6.5,0,0,0,3,1,1,8,11,9,0,0,0
112,Vitinha, POR,MF,Paris S-G,22,2000,6.5,0,0,0,5,7,0,2,13,6,0,0,0
113,Achraf Hakimi, MAR,"DF,MF",Paris S-G,23,1998,6.4,1,0,0,3,1,1,11,8,6,0,0,0
114,Bjorn Meijer, NED,DF,Club Brugge,19,2003,6.4,1,0,0,5,1,1,8,11,9,0,0,0
115,Ivan Perišić, CRO,"DF,MF",Tottenham,33,1989,6.4,0,0,0,4,3,1,54,4,7,0,0,0
116,Raphael Onyedika, NGA,MF,Club Brugge,21,2001,6.3,3,0,0,10,8,0,0,6,5,0,0,0
117,Emre Can, GER,MF,Dortmund,28,1994,6.3,2,0,0,12,2,0,1,13,12,0,1,0
118,Kalidou Koulibaly, SEN,DF,Chelsea,31,1991,6.3,2,0,0,8,4,2,0,8,7,0,0,0
119,Galeno, BRA,"FW,MF",Porto,24,1997,6.3,0,0,0,4,18,1,13,10,1,2,0,0
120,Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,6.2,1,1,0,10,11,2,34,4,8,0,0,0
121,Christopher Nkunku, FRA,"MF,FW",RB Leipzig,24,1997,6.2,1,0,0,4,6,4,4,4,4,0,1,0
122,Nico Schlotterbeck, GER,DF,Dortmund,22,1999,6.2,0,0,0,1,6,0,0,3,8,0,0,0
123,Marcelo Brozović, CRO,MF,Inter,29,1992,6.1,1,0,0,7,5,0,11,9,11,0,0,0
124,Sadio Mané, SEN,FW,Bayern Munich,30,1992,6.1,0,0,0,11,9,9,5,4,6,0,0,0
125,Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,6.1,0,0,0,4,2,1,7,6,7,0,0,0
126,Neymar, BRA,"MF,FW",Paris S-G,30,1992,6.0,4,0,0,8,19,1,19,2,1,0,0,0
127,Salih Özcan, TUR,MF,Dortmund,24,1998,6.0,4,0,0,5,4,0,1,12,4,0,0,0
128,Valerii Bondar, UKR,DF,Shakhtar,23,1999,6.0,2,0,0,3,0,0,0,7,5,0,0,1
129,Strahinja Pavlović, SRB,DF,RB Salzburg,21,2001,6.0,2,0,0,8,4,0,1,3,8,0,0,0
130,Calvin Bassey, NGA,DF,Ajax,22,1999,6.0,1,0,0,3,8,0,1,7,9,0,0,0
131,Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6.0,1,0,0,3,2,2,14,1,1,0,0,0
132,Emerson, BRA,"DF,MF",Tottenham,23,1999,6.0,1,0,0,8,12,2,15,3,11,0,0,0
133,Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6.0,1,0,0,0,1,0,0,0,0,0,0,0
134,Gonçalo Inácio, POR,DF,Sporting CP,20,2001,6.0,1,0,0,3,2,0,0,5,1,0,0,0
135,Moritz Jenz, GER,DF,Celtic,23,1999,6.0,1,0,0,4,0,0,0,8,4,0,1,0
136,Josip Juranović, CRO,DF,Celtic,26,1995,6.0,1,0,0,3,2,0,19,5,7,0,0,0
137,Robert Ljubicic, AUT,"FW,DF",Dinamo Zagreb,23,1999,6.0,1,0,0,7,10,0,9,10,6,0,1,1
138,Mykola Matviyenko, UKR,DF,Shakhtar,26,1996,6.0,1,0,0,3,1,0,0,9,4,0,0,0
139,Nuno Tavares, POR,DF,Marseille,22,2000,6.0,1,0,0,5,14,5,33,4,8,0,0,0
140,Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6.0,1,0,0,0,0,0,0,0,0,0,0,0
141,Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6.0,0,0,0,0,1,0,0,0,0,0,0,0
142,Amar Dedić, BIH,DF,RB Salzburg,19,2002,6.0,0,0,0,6,6,0,9,9,11,0,0,0
143,Sean Goldberg, ISR,DF,Maccabi Haifa,27,1995,6.0,0,0,0,6,0,0,0,4,6,0,0,1
144,Joško Gvardiol, CRO,DF,RB Leipzig,20,2002,6.0,0,0,0,1,5,0,0,4,6,0,0,0
145,Joe Hart, ENG,GK,Celtic,35,1987,6.0,0,0,0,0,0,0,0,1,0,0,0,0
146,Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6.0,0,0,0,0,3,0,0,0,0,0,0,0
147,Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6.0,0,0,0,0,1,0,0,0,0,0,0,0
148,Hugo Lloris, FRA,GK,Tottenham,35,1986,6.0,0,0,0,0,0,0,0,1,0,0,0,0
149,Pau López, ESP,GK,Marseille,27,1994,6.0,0,0,0,0,2,0,0,0,0,0,0,0
150,Remko Pasveer, NED,GK,Ajax,38,1983,6.0,0,0,0,0,0,0,0,0,0,0,0,0
151,Dino Perić, CRO,DF,Dinamo Zagreb,28,1994,6.0,0,0,0,4,1,0,1,14,4,0,0,0
152,Nicolas Seiwald, AUT,MF,RB Salzburg,21,2001,6.0,0,0,0,4,2,0,18,8,14,0,0,0
153,Milan Škriniar, SVK,DF,Inter,27,1995,6.0,0,0,0,6,2,0,0,4,6,0,0,0
154,Josip Šutalo, CRO,DF,Dinamo Zagreb,22,2000,6.0,0,0,0,2,4,0,0,9,6,0,1,0
155,Greg Taylor, SCO,DF,Celtic,24,1997,6.0,0,0,0,1,6,0,8,7,9,0,0,0
156,Edson Álvarez, MEX,MF,Ajax,24,1997,5.9,2,0,0,12,4,0,0,11,8,0,1,0
157,Jurriën Timber, NED,DF,Ajax,21,2001,5.9,2,0,0,11,5,1,1,8,1,0,1,0
158,Taras Stepanenko, UKR,MF,Shakhtar,32,1989,5.9,1,0,0,6,2,0,0,12,11,0,0,0
159,Janis Blaswich, GER,GK,RB Leipzig,31,1991,5.9,0,0,0,0,0,0,0,0,0,0,0,0
160,Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,0,0,0,1,12,2,27,2,8,0,0,0
161,Jamal Musiala, GER,"MF,FW",Bayern Munich,19,2003,5.9,0,0,0,6,9,0,1,6,3,0,0,0
162,David Raum, GER,DF,RB Leipzig,24,1998,5.9,0,0,0,6,3,2,39,7,7,0,0,0
163,André Silva, POR,FW,RB Leipzig,26,1995,5.9,0,0,0,6,6,6,3,1,3,0,0,0
164,Denis Odoi, GHA,"DF,MF",Club Brugge,34,1988,5.8,4,0,0,8,5,1,3,7,2,0,0,0
165,Otávio, POR,MF,Porto,27,1995,5.8,3,1,1,14,14,0,14,1,13,0,0,0
166,Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,5.8,2,0,0,4,14,2,12,0,4,0,0,0
167,Mario Götze, GER,"MF,FW",Eint Frankfurt,30,1992,5.8,2,0,0,7,10,1,12,3,3,0,0,0
168,Luka Ivanušec, CRO,MF,Dinamo Zagreb,23,1998,5.8,2,0,0,8,3,0,4,6,2,0,0,0
169,Steven Bergwijn, NED,FW,Ajax,24,1997,5.8,1,0,0,7,3,3,3,1,1,0,0,0
170,Josip Mišić, CRO,MF,Dinamo Zagreb,28,1994,5.8,1,0,0,13,4,0,3,8,6,0,0,0
171,Reinildo Mandava, MOZ,DF,Atlético Madrid,28,1994,5.7,2,0,0,4,5,0,5,5,8,0,0,0
172,Mykhailo Mudryk, UKR,MF,Shakhtar,21,2001,5.7,2,0,0,5,9,5,21,0,1,0,0,0
173,Matheus Reis, BRA,DF,Sporting CP,27,1995,5.7,2,0,0,6,5,0,0,3,7,0,0,0
174,Randal Kolo Muani, FRA,FW,Eint Frankfurt,23,1998,5.7,1,1,0,11,7,8,4,2,4,0,0,0
175,Mathías Olivera, URU,DF,Napoli,24,1997,5.7,1,0,0,6,7,0,7,5,13,0,0,0
176,Mohamed Simakan, FRA,DF,RB Leipzig,22,2000,5.7,1,0,0,6,16,0,9,12,9,0,0,0
177,Evanilson, BRA,FW,Porto,22,1999,5.7,0,0,0,5,15,6,1,1,3,0,0,0
178,Lukáš Hejda, CZE,DF,Viktoria Plzeň,32,1990,5.7,0,0,0,6,1,0,1,7,3,0,0,0
179,Jutglà, ESP,FW,Club Brugge,23,1999,5.7,0,0,0,4,4,2,1,0,1,1,0,0
180,Clément Lenglet, FRA,DF,Tottenham,27,1995,5.6,3,0,0,12,5,0,5,7,8,0,0,0
181,Rodrigo Bentancur, URU,"MF,FW",Tottenham,25,1997,5.6,2,0,0,8,3,0,3,5,7,0,0,0
182,Timo Werner, GER,FW,RB Leipzig,26,1996,5.6,1,0,0,2,2,5,3,0,0,0,0,0
183,Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,5.6,0,0,0,3,2,1,16,0,2,0,0,0
184,Ryan Kent, ENG,"FW,MF",Rangers,25,1996,5.6,0,0,0,0,11,3,9,1,3,0,0,0
185,Simon Kjær, DEN,DF,Milan,33,1989,5.6,0,0,0,5,0,0,0,6,4,0,0,0
186,Jesper Lindstrøm, DEN,"MF,FW",Eint Frankfurt,22,2000,5.6,0,0,0,8,11,1,10,2,2,0,0,0
187,Riyad Mahrez, ALG,"FW,MF",Manchester City,31,1991,5.6,0,0,0,4,9,2,20,1,5,1,0,0
188,Abakar Sylla, CIV,DF,Club Brugge,19,2002,5.5,4,0,0,10,1,0,1,7,2,0,1,0
189,Davide Calabria, ITA,DF,Milan,25,1996,5.5,2,0,0,6,4,0,12,15,10,0,0,0
190,Nemanja Gudelj, SRB,"DF,MF",Sevilla,30,1991,5.5,2,0,0,4,4,0,0,2,2,0,0,0
191,Luděk Pernica, CZE,DF,Viktoria Plzeň,32,1990,5.5,2,0,0,4,0,0,0,3,4,0,0,0
192,Leonardo Balerdi, ARG,DF,Marseille,23,1999,5.5,1,0,0,4,2,0,1,13,6,0,0,0
193,Lukáš Kalvach, CZE,MF,Viktoria Plzeň,27,1995,5.5,1,0,0,9,4,0,23,14,5,0,0,0
194,Maurits Kjærgaard, DEN,MF,RB Salzburg,19,2003,5.5,0,0,0,6,1,0,19,4,11,0,0,0
195,Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,5.4,2,0,0,6,5,1,0,9,8,0,0,0
196,Jordan Veretout, FRA,MF,Marseille,29,1993,5.4,2,0,0,9,5,1,15,2,9,0,0,0
197,Artem Bondarenko, UKR,MF,Shakhtar,21,2000,5.4,1,0,0,6,3,0,2,7,4,0,0,1
198,Mislav Oršić, CRO,FW,Dinamo Zagreb,29,1992,5.4,1,0,0,2,5,1,16,2,4,0,0,0
199,Bruno Petković, CRO,FW,Dinamo Zagreb,27,1994,5.4,1,0,0,10,18,0,1,2,5,0,0,0
200,James Tavernier, ENG,DF,Rangers,30,1991,5.4,1,0,0,5,1,0,22,6,5,0,0,0
201,Victor Bernth Kristiansen, DEN,"DF,MF",FC Copenhagen,19,2002,5.4,0,0,0,5,3,0,18,6,6,0,0,0
202,Matt O'Riley, DEN,MF,Celtic,21,2000,5.3,2,0,0,9,3,0,11,11,7,0,1,0
203,Julián Álvarez, ARG,FW,Manchester City,22,2000,5.3,1,0,0,9,2,2,8,2,3,0,0,0
204,Frantzdy Pierrot, HAI,FW,Maccabi Haifa,27,1995,5.3,1,0,0,7,6,10,2,1,1,0,0,0
205,Jonathan Tah, GER,DF,Leverkusen,26,1996,5.3,1,0,0,5,0,1,0,2,6,0,0,0
206,Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,0,0,0,6,2,0,18,2,3,0,0,0
207,Raphaël Guerreiro, POR,DF,Dortmund,28,1993,5.3,0,0,0,3,8,0,10,10,4,0,0,0
208,Heorhii Sudakov, UKR,MF,Shakhtar,19,2002,5.3,0,0,0,3,5,0,1,6,6,0,0,0
209,Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,5.2,2,0,0,3,3,0,0,3,11,0,0,0
210,Neta Lavi, ISR,MF,Maccabi Haifa,25,1996,5.2,2,0,0,9,3,0,2,9,17,0,0,0
211,Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,5.2,2,0,0,16,11,0,1,13,17,0,0,0
212,Borna Barišić, CRO,DF,Rangers,29,1992,5.2,1,0,0,2,2,1,27,3,3,0,1,0
213,Noah Okafor, SUI,FW,RB Salzburg,22,2000,5.2,1,0,0,5,4,0,4,0,0,0,0,0
214,Hirving Lozano, MEX,FW,Napoli,27,1995,5.2,0,0,0,7,7,3,20,2,6,0,0,0
215,Nahuel Molina, ARG,"DF,MF",Atlético Madrid,24,1998,5.2,0,0,0,5,4,1,38,1,3,0,0,0
216,Valentin Rongier, FRA,MF,Marseille,27,1994,5.2,0,0,0,14,4,0,1,8,6,0,0,0
217,Steven Berghuis, NED,"MF,FW",Ajax,30,1991,5.1,1,0,0,3,4,2,24,4,9,0,0,0
218,Callum Hudson-Odoi, ENG,FW,Leverkusen,21,2000,5.1,0,0,0,0,6,1,11,3,1,0,0,0
219,Adam Vlkanova, CZE,MF,Viktoria Plzeň,27,1994,5.1,0,0,0,6,9,1,14,2,2,0,0,0
220,Axel Witsel, BEL,"DF,MF",Atlético Madrid,33,1989,5.1,0,0,0,2,3,0,0,3,3,0,0,0
221,David Carmo, POR,DF,Porto,23,1999,5.0,3,0,0,4,2,0,2,4,2,0,2,0
222,Piero Hincapié, ECU,DF,Leverkusen,20,2002,5.0,3,0,0,7,7,0,6,6,11,0,1,0
223,John Lundstram, ENG,"MF,DF",Rangers,28,1994,5.0,3,0,0,9,4,0,2,9,3,0,0,0
224,Carmona, ESP,DF,Sevilla,20,2002,5.0,2,0,0,4,4,0,10,3,4,0,0,0
225,Lukas Lerager, DEN,MF,FC Copenhagen,29,1993,5.0,2,0,0,9,2,0,4,14,4,0,0,0
226,Reo Hatate, JPN,MF,Celtic,24,1997,5.0,1,0,0,2,4,0,1,3,1,0,0,0
227,Kudus Mohammed, GHA,FW,Ajax,21,2000,5.0,1,0,0,12,4,8,2,5,2,0,0,0
228,Dylan Batubinsika, COD,DF,Maccabi Haifa,26,1996,5.0,0,0,0,3,0,0,0,10,1,0,0,0
229,Allan McGregor, SCO,GK,Rangers,40,1982,5.0,0,0,0,0,0,0,0,0,0,0,0,0
230,Jan Oblak, SVN,GK,Atlético Madrid,29,1993,5.0,0,0,0,0,0,0,0,0,0,0,0,0
231,Danilo Pereira, POR,"DF,MF",Paris S-G,30,1991,5.0,0,0,0,1,3,2,0,6,7,0,0,1
232,Adrien Rabiot, FRA,MF,Juventus,27,1995,5.0,0,0,0,10,5,1,8,5,8,0,0,0
233,Patrik Schick, CZE,FW,Leverkusen,26,1996,5.0,0,0,0,4,3,3,0,1,2,0,0,0
234,Jindřich Staněk, CZE,GK,Viktoria Plzeň,26,1996,5.0,0,0,0,0,0,0,0,0,0,0,0,0
235,Ciprian Tătărușanu, ROU,GK,Milan,36,1986,5.0,0,0,0,0,1,0,0,0,0,0,0,0
236,Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0
237,Mason Mount, ENG,MF,Chelsea,23,1999,4.9,3,0,0,8,7,1,21,4,6,1,0,0
238,David Neres, BRA,"FW,MF",Benfica,25,1997,4.9,2,0,0,8,8,3,21,1,7,0,0,0
239,Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,4.9,1,0,0,2,5,4,5,4,1,0,0,0
240,Leonardo Bonucci, ITA,DF,Juventus,35,1987,4.9,0,0,0,6,1,0,1,2,0,0,0,0
241,Trevoh Chalobah, ENG,DF,Chelsea,23,1999,4.9,0,0,0,1,3,0,0,5,6,0,0,0
242,Robert Lewandowski, POL,FW,Barcelona,33,1988,4.9,0,0,0,5,10,2,6,1,4,0,0,0
243,Nuno Mendes, POR,"DF,MF",Paris S-G,20,2002,4.9,0,0,0,6,9,2,12,1,7,0,0,0
244,Nacho, ESP,DF,Real Madrid,32,1990,4.9,0,0,0,5,6,1,0,17,5,0,0,0
245,Jhon Mosquera, COL,"FW,MF",Viktoria Plzeň,32,1990,4.8,3,0,0,7,8,0,10,4,6,0,0,0
246,Dušan Tadić, SRB,FW,Ajax,33,1988,4.8,2,1,1,9,6,2,10,0,3,0,0,0
247,Davit Khocholava, GEO,DF,FC Copenhagen,29,1993,4.8,1,1,0,6,0,0,0,10,1,0,0,1
248,Odilon Kossonou, CIV,DF,Leverkusen,21,2001,4.8,1,0,0,7,2,0,2,4,6,0,1,0
249,Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,4.8,0,0,0,4,17,1,24,8,7,0,1,0
250,Filip Kostić, SRB,"DF,FW",Juventus,29,1992,4.8,0,0,0,3,3,0,41,0,4,0,0,0
251,Eric Maxim Choupo-Moting, CMR,FW,Bayern Munich,33,1989,4.8,0,0,0,4,4,5,0,1,4,0,0,0
252,Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,4.8,0,0,0,5,5,0,0,7,7,0,0,0
253,Danilo, BRA,DF,Juventus,31,1991,4.7,3,0,0,4,1,0,8,7,2,0,0,0
254,Enzo Fernández, ARG,MF,Benfica,21,2001,4.7,3,0,0,15,4,0,9,9,7,0,0,0
255,Robin Gosens, GER,DF,Inter,28,1994,4.7,1,0,0,7,3,0,12,5,13,0,0,0
256,Victor Osimhen, NGA,FW,Napoli,23,1998,4.7,1,0,0,5,10,9,3,1,2,2,0,0
257,Milan Havel, CZE,DF,Viktoria Plzeň,27,1994,4.7,0,0,0,0,1,0,10,4,5,0,0,0
258,Marc Cucurella, ESP,DF,Chelsea,24,1998,4.6,2,0,0,6,6,2,13,8,9,0,0,0
259,Yukhym Konoplia, UKR,DF,Shakhtar,22,1999,4.6,2,0,0,10,5,0,5,2,7,0,0,0
260,Kenneth Taylor, NED,MF,Ajax,20,2002,4.6,2,0,0,7,1,0,6,4,3,0,0,0
261,Jonathan Clauss, FRA,DF,Marseille,29,1992,4.6,1,0,0,1,1,0,12,5,1,0,0,0
262,Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,1,0,0,5,6,2,51,2,7,0,0,0
263,Mattéo Guendouzi, FRA,MF,Marseille,23,1999,4.6,1,0,0,2,6,0,5,6,3,0,0,0
264,Roberto Firmino, BRA,"FW,MF",Liverpool,30,1991,4.6,0,0,0,7,0,0,1,6,2,0,0,0
265,Jorginho, ITA,MF,Chelsea,30,1991,4.6,0,0,0,3,10,0,1,11,6,0,0,0
266,Ivan Rakitić, CRO,MF,Sevilla,34,1988,4.6,0,0,0,2,6,0,4,4,4,0,0,0
267,Alexis Sánchez, CHI,FW,Marseille,33,1988,4.6,0,0,0,7,10,15,5,0,3,0,0,0
268,Dušan Vlahović, SRB,FW,Juventus,22,2000,4.6,0,0,0,4,4,4,2,0,1,0,0,0
269,Robert Andrich, GER,MF,Leverkusen,27,1994,4.5,4,0,0,15,2,0,0,5,7,0,0,0
270,Sadegh Moharrami, IRN,"FW,DF",Dinamo Zagreb,26,1996,4.5,2,0,0,5,8,0,15,0,3,0,1,0
271,Matteo Politano, ITA,FW,Napoli,28,1993,4.5,2,0,0,4,5,1,25,1,6,0,0,0
272,José María Giménez, URU,DF,Atlético Madrid,27,1995,4.5,1,0,0,4,2,0,1,6,3,0,0,0
273,Marcos Alonso, ESP,DF,Barcelona,31,1990,4.5,0,0,0,3,2,0,12,6,2,0,0,0
274,Pierre-Emerick Aubameyang, GAB,FW,Chelsea,33,1989,4.5,0,0,0,4,2,4,3,0,0,0,0,0
275,Daley Blind, NED,DF,Ajax,32,1990,4.5,0,0,0,4,0,1,4,4,10,0,0,0
276,Chiquinho, POR,MF,Benfica,27,1995,4.5,0,0,0,3,7,1,12,7,6,0,0,0
277,Emil Forsberg, SWE,"MF,FW",RB Leipzig,30,1991,4.5,0,0,0,6,7,2,2,1,4,0,0,0
278,Antoine Griezmann, FRA,"FW,MF",Atlético Madrid,31,1991,4.5,0,0,0,3,4,6,20,2,5,0,0,0
279,Chancel Mbemba, COD,DF,Marseille,27,1994,4.5,0,1,0,2,3,0,9,4,6,0,0,0
280,Alexander Meyer, GER,GK,Dortmund,31,1991,4.5,0,0,0,0,0,0,0,0,0,0,0,0
281,Pedri, ESP,"MF,FW",Barcelona,19,2002,4.5,0,0,0,1,7,0,3,5,2,0,0,0
282,Noussair Mazraoui, MAR,DF,Bayern Munich,24,1997,4.4,2,0,0,10,3,0,8,3,9,0,0,0
283,Abdoulaye Seck, SEN,DF,Maccabi Haifa,30,1992,4.4,2,0,0,3,1,0,0,4,7,0,0,0
284,Luka Sučić, CRO,MF,RB Salzburg,19,2002,4.4,2,0,0,4,1,0,3,4,3,0,0,0
285,Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,4.4,1,0,0,13,12,0,2,3,6,0,0,0
286,Sebastián Coates, URU,DF,Sporting CP,31,1990,4.4,1,0,0,2,1,0,0,6,3,0,1,0
287,Harvey Elliott, ENG,MF,Liverpool,19,2003,4.4,1,0,0,5,5,0,5,5,5,0,0,0
288,Wesley Fofana, FRA,DF,Chelsea,21,2000,4.4,1,0,0,10,2,0,1,4,9,0,0,0
289,Darwin Núñez, URU,FW,Liverpool,23,1999,4.4,1,0,0,11,2,5,11,1,3,0,0,0
290,Pedro Porro, ESP,"DF,MF",Sporting CP,22,1999,4.4,1,0,0,4,7,0,22,4,10,0,0,0
291,Ben Davies, WAL,DF,Tottenham,29,1993,4.4,0,0,0,6,3,2,2,5,6,0,0,0
292,Isco, ESP,"MF,FW",Sevilla,30,1992,4.4,0,0,0,3,14,0,4,5,3,0,0,0
293,Phil Foden, ENG,"MF,FW",Manchester City,22,2000,4.3,1,0,0,4,9,2,22,5,4,0,0,0
294,Mário Rui, POR,DF,Napoli,31,1991,4.3,1,0,0,7,5,0,16,7,6,0,1,0
295,Gio Reyna, USA,"FW,MF",Dortmund,19,2002,4.3,0,0,0,2,7,3,11,3,2,0,0,0
296,Alex Telles, BRA,"DF,FW",Sevilla,29,1992,4.3,0,0,0,3,7,0,27,4,4,0,0,0
297,Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,4.3,0,0,0,2,3,1,5,2,4,0,0,0
298,Jeremie Frimpong, NED,"MF,FW",Leverkusen,21,2000,4.2,2,1,1,4,7,1,10,5,5,0,0,0
299,Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,4.2,1,0,0,7,6,0,6,2,1,0,0,0
300,João Cancelo, POR,DF,Manchester City,28,1994,4.2,1,0,0,5,3,2,24,3,7,0,0,0
301,Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,4.2,1,0,0,4,2,0,11,4,1,1,0,0
