,Player,Nationality,Position,Club,Age,Born,MP,Starts,Min,90s,GA90,SoTA,Save%,W,D,L,CS%,PKatt,PKA,PKsv,PKm
0,Antonio Adán, ESP,GK,Sporting CP,35,1987,5,5,382,4.2,1.18,21,81.0,2,1,2,40.0,1,1,0,0
1,Alisson, BRA,GK,Liverpool,29,1992,8,8,720,8.0,1.5,28,60.7,5,0,3,37.5,2,1,1,0
2,Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9,9,810,9.0,0.89,35,77.1,4,1,4,33.3,0,0,0,0
3,Janis Blaswich, GER,GK,RB Leipzig,31,1991,6,5,528,5.9,1.87,31,71.0,3,1,1,40.0,2,2,0,0
4,Yassine Bounou, MAR,GK,Sevilla,31,1991,4,4,360,4.0,3.0,26,53.8,0,1,3,0.0,0,0,0,0
5,Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6,6,540,6.0,3.5,42,50.0,1,0,5,16.7,0,0,0,0
6,Diogo Costa, POR,GK,Porto,22,1999,8,8,720,8.0,1.0,38,81.6,4,1,3,50.0,4,1,3,0
7,Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10,10,900,10.0,1.1,53,79.2,7,1,2,50.0,1,0,1,0
8,Marko Dmitrović, SRB,GK,Sevilla,30,1992,2,2,180,2.0,0.0,4,100.0,1,1,0,100.0,0,0,0,0
9,Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8,8,720,8.0,1.25,35,74.3,4,2,2,0.0,1,1,0,0
10,Ederson, BRA,GK,Manchester City,28,1993,11,11,990,11.0,0.36,31,90.3,7,4,0,63.6,1,1,0,0
11,Fraser Forster, ENG,GK,Tottenham,34,1988,2,2,180,2.0,0.5,7,85.7,0,1,1,50.0,0,0,0,0
12,Kamil Grabara, POL,GK,FC Copenhagen,23,1999,4,4,360,4.0,2.25,32,75.0,0,2,2,25.0,2,1,1,0
13,Ivo Grbić, CRO,GK,Atlético Madrid,26,1996,1,1,90,1.0,2.0,5,60.0,0,0,1,0.0,0,0,0,0
14,Péter Gulácsi, HUN,GK,RB Leipzig,32,1990,3,3,192,2.1,2.81,8,25.0,1,0,2,0.0,0,0,0,0
15,Joe Hart, ENG,GK,Celtic,35,1987,6,6,540,6.0,2.5,31,58.1,0,2,4,0.0,2,2,0,0
16,Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6,6,540,6.0,1.33,24,75.0,1,2,3,33.3,3,2,1,0
17,Franco Israel, URU,GK,Sporting CP,22,2000,2,1,155,1.7,2.32,8,62.5,0,0,1,0.0,1,1,0,0
18,Gregor Kobel, SUI,GK,Dortmund,24,1997,4,4,315,3.5,0.57,19,89.5,1,3,0,50.0,1,0,1,0
19,Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6,6,540,6.0,1.5,30,70.0,1,3,2,16.7,0,0,0,0
20,Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6,6,540,6.0,1.83,35,77.1,1,1,4,16.7,3,3,0,0
21,Hugo Lloris, FRA,GK,Tottenham,35,1986,6,6,540,6.0,1.0,23,73.9,3,2,1,33.3,0,0,0,0
22,Pau López, ESP,GK,Marseille,27,1994,6,6,540,6.0,1.33,20,60.0,2,0,4,16.7,0,0,0,0
23,Andriy Lunin, UKR,GK,Real Madrid,23,1999,2,2,180,2.0,1.0,5,60.0,1,1,0,0.0,0,0,0,0
