,Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Clearances,Errors
191,Youssef En-Nesyri, MAR,FW,Sevilla,25,1997,2.7,3,2,2,4,50.0,2,1,0,1,2,3,0
192,Ricardo Esgaio, POR,"DF,MF",Sporting CP,29,1993,1.2,8,5,7,9,77.8,2,2,0,2,0,1,0
193,Dario Essugo, POR,MF,Sporting CP,17,2005,0.3,2,2,0,0,0.0,0,1,1,0,0,0,0
194,Stephen Eustáquio, CAN,MF,Porto,25,1996,6.6,14,7,5,14,35.7,9,7,1,6,11,9,0
195,Evanilson, BRA,FW,Porto,22,1999,5.7,4,3,1,4,25.0,3,4,1,3,1,4,0
196,Fabinho, BRA,MF,Liverpool,28,1993,7.0,13,8,2,11,18.2,9,8,3,5,9,5,0
197,Nicolò Fagioli, ITA,MF,Juventus,21,2001,1.2,2,0,0,3,0.0,3,4,0,4,1,0,0
198,Rasmus Falk, DEN,MF,FC Copenhagen,30,1992,2.1,2,1,1,4,25.0,3,3,0,3,7,2,0
199,Abdul Fatawu Issahaku, GHA,"MF,DF",Sporting CP,18,2004,1.0,4,3,0,0,0.0,0,1,0,1,0,2,0
200,Ansu Fati, ESP,FW,Barcelona,19,2002,2.7,1,1,0,1,0.0,1,2,0,2,0,0,0
201,Felipe, BRA,DF,Atlético Madrid,33,1989,1.0,4,4,1,1,100.0,0,4,3,1,1,5,1
202,João Félix, POR,"FW,MF",Chelsea,22,1999,2.7,2,1,2,5,40.0,3,0,0,0,0,0,0
203,João Félix, POR,FW,Atlético Madrid,22,1999,2.4,2,0,1,1,100.0,0,1,0,1,0,0,0
204,Mateus Fernandes, POR,MF,Sporting CP,18,2004,0.3,1,0,1,1,100.0,0,2,1,1,0,2,0
205,Enzo Fernández, ARG,MF,Benfica,21,2001,4.7,19,7,8,13,61.5,5,4,1,3,9,2,0
206,Enzo Fernández, ARG,MF,Chelsea,21,2001,3.7,8,7,4,10,40.0,6,10,2,8,1,3,0
207,Fernando, BRA,FW,RB Salzburg,23,1999,0.7,1,0,1,2,50.0,1,3,0,3,1,0,0
208,Fernando, BRA,MF,Sevilla,35,1987,1.0,0,0,0,1,0.0,1,0,0,0,1,0,0
209,Roberto Firmino, BRA,"FW,MF",Liverpool,30,1991,4.6,8,2,1,2,50.0,1,7,0,7,6,2,0
210,Phil Foden, ENG,"MF,FW",Manchester City,22,2000,4.3,5,4,2,3,66.7,1,3,0,3,5,0,0
211,Wesley Fofana, FRA,DF,Chelsea,21,2000,4.4,15,9,10,17,58.8,7,2,0,2,4,9,0
212,Bernardo Folha, POR,MF,Porto,20,2002,0.1,1,1,0,0,0.0,0,0,0,0,0,0,0
213,James Forrest, SCO,FW,Celtic,31,1991,1.0,1,1,0,1,0.0,1,2,0,2,1,1,0
214,Emil Forsberg, SWE,"MF,FW",RB Leipzig,30,1991,4.5,8,4,4,12,33.3,8,4,0,4,1,1,0
215,Fraser Forster, ENG,GK,Tottenham,34,1988,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0
216,Timothy Fosu-Mensah, NED,"MF,DF",Leverkusen,24,1998,0.1,1,1,0,0,0.0,0,0,0,0,1,0,0
217,Lassina Franck Traoré, BFA,FW,Shakhtar,21,2001,2.7,0,0,0,0,0.0,0,0,0,0,0,3,0
218,André Franco, POR,MF,Porto,24,1998,0.2,1,1,0,0,0.0,0,0,0,0,0,0,0
219,Jeremie Frimpong, NED,"MF,FW",Leverkusen,21,2000,4.2,8,5,7,11,63.6,4,4,1,3,5,7,0
220,Kyogo Furuhashi, JPN,FW,Celtic,27,1995,4.0,2,0,1,1,100.0,0,4,0,4,0,1,0
221,Matteo Gabbia, ITA,DF,Milan,22,1999,2.3,3,1,3,3,100.0,0,1,0,1,3,10,0
222,Gianluca Gaetano, ITA,MF,Napoli,22,2000,0.3,0,0,0,0,0.0,0,0,0,0,0,0,0
223,Roberto Gagliardini, ITA,MF,Inter,28,1994,1.3,6,2,1,4,25.0,3,8,0,8,2,1,0
224,Cody Gakpo, NED,"FW,MF",Liverpool,23,1999,1.7,6,5,4,5,80.0,1,4,1,3,1,1,0
225,Galeno, BRA,"FW,MF",Porto,24,1997,6.3,3,1,2,4,50.0,2,14,3,11,10,5,0
226,Conor Gallagher, ENG,MF,Chelsea,22,2000,3.3,9,6,4,9,44.4,5,0,0,0,5,4,0
227,Eric García, ESP,DF,Barcelona,21,2001,2.5,4,2,2,3,66.7,1,1,0,1,4,5,0
228,Federico Gatti, ITA,DF,Juventus,24,1998,2.0,2,2,2,4,50.0,2,3,1,2,2,7,0
229,Gavi, ESP,MF,Barcelona,17,2004,3.7,7,6,2,4,50.0,2,4,1,3,5,1,0
230,Gerson, BRA,MF,Marseille,25,1997,1.3,1,1,0,0,0.0,0,2,0,2,0,0,0
231,Giorgos Giakoumakis, GRE,FW,Celtic,27,1994,2.7,4,3,0,2,0.0,2,5,0,5,4,3,0
232,Samuel Gigot, FRA,DF,Marseille,28,1993,2.8,0,0,0,1,0.0,1,6,3,3,4,5,0
233,Bryan Gil, ESP,MF,Tottenham,21,2001,0.4,0,0,0,2,0.0,2,2,0,2,2,0,0
234,Gilberto, BRA,DF,Benfica,29,1993,2.2,5,5,3,6,50.0,3,3,0,3,6,5,0
235,Olivier Giroud, FRA,FW,Milan,35,1986,10.4,7,6,3,9,33.3,6,7,0,7,2,15,0
236,Serge Gnabry, GER,"FW,MF",Bayern Munich,27,1995,3.8,8,3,2,11,18.2,9,6,0,6,0,2,0
237,Sean Goldberg, ISR,DF,Maccabi Haifa,27,1995,6.0,10,6,4,6,66.7,2,6,4,2,4,24,0
238,Connor Goldson, ENG,DF,Rangers,29,1992,3.5,6,3,3,7,42.9,4,8,3,5,5,19,0
239,Joe Gomez, ENG,DF,Liverpool,25,1997,3.3,4,2,3,3,100.0,0,2,1,1,5,6,2
240,Papu Gómez, ARG,"FW,MF",Sevilla,34,1988,2.7,2,2,1,3,33.3,2,0,0,0,3,0,0
241,Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,3.4,4,1,1,2,50.0,1,4,0,4,2,2,0
