Posición;Jugador;Equipo;Edad;Posición;Partidos;Minutos;Goles;Asistencias;Tarjetas Amarillas;Tarjetas Rojas;Goles/Partido;Efectividad de Pases;Duelos Aéreos Ganados;Mejor Jugador del Partido;Valoración
1;Kevin De Bruyne;Man City;32;M(CLR) FW;1;90;1;1;7;0;0.011;87.7%;8.27;2;8.11
2;Jude Bellingham;Real Madrid;20;M(CLR);6;534;4;4;2;0;0.007;89.8%;1;2;8.08
3;Julián Álvarez;Man City;24;AM(CR)FW;2(3);245;5;2;2;0;0.02;90.7%;2;8.08
4;Phil Foden;Man City;23;AM(CLR) FW;5(1);477;4;3;4;0;0.008;89.1%;0.5;3;7.92
5;Gabriel Martinelli;Arsenal;22;AM(L)FW;4;351;2;1;1;0;0.006;80%;0.5;7.90
6;Gabriel Jesus;Arsenal;26;AM(LR) FW;4(1);323;4;2;1;0;0.012;81.6%;14;2;7.80
7;Vinicius Júnior;Real Madrid;23;AM(L);FW;5;444;3;2;2;0;0.007;77.9%;1;7.79
8;Galeno;Porto;26;M(LR);6;533;5;3;2;0;0.009;75.2%;0.2;2;7.78
9;João Cancelo;Barcelona;29;D(LR);M(R);6(1);549;1;1;1;0;0.002;90.2%;1.1;2;7.77
10;Kylian Mbappé;PSG;25;AM(CLR);FW;8;720;6;0;4;0;0.008;84.2%;0.4;5;7.73
11;Mohamed Salah;Liverpool;30;AM(R)FW;7;605;5;2;2;0;0.008;83.3%;1.4;3;7.72
12;Trent Alexander-Arnold;Liverpool;24;D(R);6(1);540;2;5;1;0;0.004;87.2%;1.7;2;7.70
13;Erling Haaland;Man City;22;AM(L)ST;6;450;5;3;1;0;0.011;79.2%;1.7;3;7.69
14;Andrew Robertson;Liverpool;28;D(L);7;630;1;5;1;0;0.002;87.3%;1.7;2;7.68
15;Bernardo Silva;Man City;28;AM(R) FW;6(1);472;2;3;2;0;0.004;86.7%;1.3;2;7.67
16;Thiago Alcântara;Liverpool;31;M(C);7;589;0;2;1;0;0;89.4%;1.9;2;7.66
17;Virgil van Dijk;Liverpool;31;D(C);7;630;1;0;3;0;0.002;91.5%;2.4;2;7.65
18;Bukayo Saka;Arsenal;21;AM(R) FW;6;425;3;4;0;0;1.2;86.2;0.2;1;7.64
19;David Raya;Brentford;27;POR;7;630;0;0;2;0;0;74.5%;0.5;1;7.02
20;Robert Sánchez;Brighton & Hove Albion;25;POR;7;630;0;2;1;0;0;78.9%;0.7;1;7.01

Posición;Jugador;Equipo;Edad;Posición;Partidos;Minutos;Goles;Asistencias;Amarillas;Rojas;Pases;Precisión de Pases;Duelos Aéreos Ganados;MVP;Valoración
21;Stephen Welsh;Celtic;24;D(C);1;75;0;0;0;0;89.5;2;7.39
22;Evanilson;Porto;24;FW;4(2);403;4;1;1.7;78.7;1.2;1;7.39
23;Jamal Musiala;Bayern Munich;21;M(CL);7;529;2;1;1;2.4;91;;7.37

24 Andriy Lunin;Real Madrid;25;GK;4;360;;;;;78.9;;1;7.35

25 Beraldo;PSG;20;D(C);2;180;;;;;81.5;3.5;7.34

26 Samuel Lino;Atletico Madrid;24;D(L),M(LR),FW;4(1);346;2;3;2;2.6;92.4;0.2;1;7.33

27 Rafael Leão;AC Milan;24;AM(CL),FW;5;443;1;1;2.2;71.7;1.2;1;7.30

28 David Raum;RB Leipzig;25;D(L),M(LR);7;630;1;3;2;0.3;84.5;0.3;1;7.29

29 Bruno Fernandes;Manchester United;29;M(CLR);6;540;2;2;2;2.5;75.1;0.7;7.28

30 Mats Hummels;Borussia Dortmund;35;D(C);7;630;;;;;85.2;1.9;1;7.26
